DateTime,Initial Claims
4/1/2006,299600
5/1/2006,306750
6/1/2006,332750
7/1/2006,307600
8/1/2006,319500
9/1/2006,314250
10/1/2006,316200
11/1/2006,315500
12/1/2006,326250
1/1/2007,324000
2/1/2007,317250
3/1/2007,322750
4/1/2007,309400
5/1/2007,320250
6/1/2007,304250
7/1/2007,315200
8/1/2007,313250
9/1/2007,318800
10/1/2007,313250
11/1/2007,328250
12/1/2007,337600
1/1/2008,349250
2/1/2008,338750
3/1/2008,346400
4/1/2008,368000
5/1/2008,359500
6/1/2008,366800
7/1/2008,383250
8/1/2008,398000
9/1/2008,433000
10/1/2008,464000
11/1/2008,478200
12/1/2008,527250
1/1/2009,564000
2/1/2009,572000
3/1/2009,644000
4/1/2009,659250
5/1/2009,627750
6/1/2009,612000
7/1/2009,598250
8/1/2009,564200
9/1/2009,560250
10/1/2009,547500
11/1/2009,525400
12/1/2009,494000
1/1/2010,485500
2/1/2010,479800
3/1/2010,485750
4/1/2010,470250
5/1/2010,465400
6/1/2010,461500
7/1/2010,460500
8/1/2010,459200
9/1/2010,475000
10/1/2010,453500
11/1/2010,418800
12/1/2010,430250
1/1/2011,420250
2/1/2011,426800
3/1/2011,401500
4/1/2011,406000
5/1/2011,420600
6/1/2011,422500
7/1/2011,418250
8/1/2011,412600
9/1/2011,409500
10/1/2011,415200
11/1/2011,401750
12/1/2011,389250
1/1/2012,377000
2/1/2012,377750
3/1/2012,363250
4/1/2012,366600
5/1/2012,381750
6/1/2012,373500
7/1/2012,379200
8/1/2012,372500
9/1/2012,372800
10/1/2012,384500
11/1/2012,368500
12/1/2012,396000
1/1/2013,355000
2/1/2013,353000
3/1/2013,353000
4/1/2013,351800
5/1/2013,347250
6/1/2013,347400
7/1/2013,344250
8/1/2013,346000
9/1/2013,333400
10/1/2013,314000
11/1/2013,358500
12/1/2013,328200
1/1/2014,346000
2/1/2014,327600
3/1/2014,332250
4/1/2014,321500
5/1/2014,322750
6/1/2014,313800
7/1/2014,313500
8/1/2014,301750
9/1/2014,302000
10/1/2014,295000
11/1/2014,287000
12/1/2014,294500
1/1/2015,284500
2/1/2015,287600
3/1/2015,301250
4/1/2015,284000
5/1/2015,286000
6/1/2015,274000
7/1/2015,273750
8/1/2015,276200
9/1/2015,276500
10/1/2015,269500
11/1/2015,267000
12/1/2015,268500
1/1/2016,271000
2/1/2016,279600
3/1/2016,266750
4/1/2016,263250
5/1/2016,266000
6/1/2016,274500
7/1/2016,265250
8/1/2016,259400
9/1/2016,263500
10/1/2016,250200
11/1/2016,258500
12/1/2016,245750
1/1/2017,252200
2/1/2017,244000
3/1/2017,230250
4/1/2017,230200
5/1/2017,230750
6/1/2017,239000
7/1/2017,249600
8/1/2017,249500
9/1/2017,247750
10/1/2017,272400
11/1/2017,242250
12/1/2017,247750
1/1/2018,242600
2/1/2018,235250
3/1/2018,221000
4/1/2018,225800
5/1/2018,221500
6/1/2018,221250
7/1/2018,222600
8/1/2018,209500
9/1/2018,207000
10/1/2018,206250
11/1/2018,213000
12/1/2018,226600
1/1/2019,222750
2/1/2019,222750
3/1/2019,222500
4/1/2019,211800
5/1/2019,209750
6/1/2019,219400
7/1/2019,225750
8/1/2019,208500
9/1/2019,211000
10/1/2019,209500
11/1/2019,212250
12/1/2019,224400
1/1/2020,236000
2/1/2020,213800
3/1/2020,211000
4/1/2020,2335250
5/1/2020,4663250
6/1/2020,2173400
7/1/2020,1490250
8/1/2020,1315600
9/1/2020,892000
10/1/2020,851750
11/1/2020,795400
12/1/2020,751250
1/1/2021,836750
2/1/2021,827800
3/1/2021,755000
4/1/2021,669250
5/1/2021,574600
6/1/2021,457250
7/1/2021,409750
8/1/2021,370000
9/1/2021,360000
10/1/2021,355500
11/1/2021,284800
12/1/2021,236500
1/1/2022,218400
2/1/2022,240250
3/1/2022,219500
4/1/2022,215000
5/1/2022,213200
6/1/2022,210000
7/1/2022,213500
8/1/2022,218200
9/1/2022,216500
10/1/2022,199000
11/1/2022,202000
12/1/2022,210750
1/1/2023,208000
2/1/2023,203500
3/1/2023,215000
4/1/2023,226400
5/1/2023,216500
6/1/2023,226250
7/1/2023,251000
8/1/2023,231500
9/1/2023,245000
10/1/2023,219000
11/1/2023,210250
12/1/2023,218000
1/1/2024,207400
2/1/2024,210000
3/1/2024,210750
4/1/2024,215000
5/1/2024,210250
6/1/2024,223400
7/1/2024,237250
8/1/2024,236500
9/1/2024,230800
10/1/2024,225000
11/1/2024,236250
12/1/2024,219400
1/1/2025,222250
2/1/2025,215200
3/1/2025,226500
