DateTime,CLI_MOM,CPI_MOM,classify
2009-12-01,0.0030236731237598,0.0005201763996427,0
2010-02-01,0.0012566945060098,-0.0009517766497461,1
2010-03-01,0.0005516562586196,0.0003313681361923,0
2010-04-01,-0.0001219717779123,0.0002300405331418,2
2010-06-01,-0.0007522154630888,-0.0004187951585437,3
2010-07-01,-0.0004965578609082,0.0018692535416828,2
2010-09-01,0.0005544217619484,0.0016152494229613,0
2010-10-01,0.0009632457210042,0.0034818462948115,0
2010-11-01,0.0011885132869437,0.0025338416234848,0
2010-12-01,0.0011316118036425,0.0040165763468282,0
2011-02-01,0.0002907520093041,0.003214474630064,0
2011-03-01,-0.0003667946987785,0.0051735482068337,2
2011-04-01,-0.0010186985581953,0.0046940989750992,2
2011-06-01,-0.002027852479434,0.0,2
2011-07-01,-0.0022565333645994,0.0026200368317571,2
2011-08-01,-0.0022257852490688,0.0031544621664188,2
2011-09-01,-0.001831510971599,0.0021715478580843,2
2011-11-01,-0.0005526243549964,0.0018478500551268,2
2011-12-01,-5.298911709701403e-05,0.0002377084901549,2
2012-02-01,0.0001223883311639,0.0021374461249462,0
2012-03-01,-0.0001490110891088,0.0020934703870291,2
2012-05-01,-0.0006908098738717,-0.002068180132381,3
2012-06-01,-0.0007349065152586,-0.0008263631713107,3
2012-08-01,-0.0002578374605901,0.0058095279758519,2
2012-10-01,0.0004733675997651,0.0026967945804385,0
2012-11-01,0.0007607033439631,-0.0016793444944266,1
2013-02-01,0.0010380794609193,0.005429926752101,0
2013-03-01,0.0008108459392714,-0.0028119191025899,1
2013-04-01,0.0005834160005834,-0.0020879792665811,1
2013-05-01,0.0004293195285471,0.0004141554895016,0
2013-07-01,0.0002454279075475,0.0019574523005442,0
2013-08-01,0.0002423753985977,0.0023872906826963,0
2013-10-01,0.0001096677068482,0.000535231048539,0
2013-11-01,-1.1962437944825283e-05,0.0018444894273522,2
2014-04-01,-0.0001107337959545,0.0018641856050976,2
2014-05-01,-0.0001596339593311,0.0019030059035472,2
2014-07-01,-0.0001776553486237,0.0011254852864928,2
2014-08-01,-0.0001247801373977,-0.0001600013473796,3
2014-10-01,-4.992082557088332e-06,-0.0001979139032411,3
2014-12-01,8.286584020462186e-05,-0.0030846094445592,1
2015-04-01,-0.0001527042119415,0.0010424788961589,2
2015-05-01,-0.0004571843830606,0.0032977453412467,2
2015-06-01,-0.0008149194168531,0.0027679208104607,2
2015-07-01,-0.0010954413249242,0.0015863197801873,2
2015-09-01,-0.0010587582265633,-0.0022475875193775,3
2015-10-01,-0.0008597175256821,0.0009894820166907,2
2015-12-01,-0.000701600019687,-0.001075553426856,3
2016-02-01,-0.0004233200359817,-0.0013296753235822,3
2016-03-01,-0.0001476059611074,0.0031347962382445,2
2016-04-01,7.094585211294309e-05,0.0038306451612902,0
2016-06-01,0.0003416522710267,0.0027759572878272,0
2016-07-01,0.0005364401673605,-0.0005037007434789,1
2016-08-01,0.0007399990812834,0.0018492217858317,0
2016-09-01,0.0009533927352317,0.0026232097944251,0
2016-11-01,0.0011376814012947,0.0011789477167712,0
2016-12-01,0.0011275777872983,0.0025245221587762,0
2017-02-01,0.0009720668158566,0.0015926573570097,0
2017-03-01,0.0008952694441645,-0.0004672016261895,1
2017-05-01,0.000806041023403,-0.0007739779600562,1
2017-06-01,0.0008213204842307,0.0006516286618252,0
2017-08-01,0.0007851891461017,0.0038486261632881,0
2017-09-01,0.0006524867491561,0.0051063899209978,0
2017-11-01,0.0002023753308439,0.0026680074282516,0
2017-12-01,-4.8599925414054936e-05,0.002106889244755,2
2018-02-01,-0.0004464617903117,0.0026922876006091,2
2018-03-01,-0.0006729695525944,0.0001923624107819,2
2018-05-01,-0.0010597390616239,0.0022579497815982,2
2018-06-01,-0.0012330296703362,0.0009011451720948,2
2018-08-01,-0.0014787172477099,0.0017873207703392,2
2018-10-01,-0.0014885633122285,0.0023395801444988,2
2018-11-01,-0.0013426463302587,-0.0007041919199911,3
